cliente_id,tipo_cliente,cluster,riesgo_0_100,rating_estrellas,rating_label,por_que_rating,por_que_cluster,sector_dominante_modal,n_facturas_total,n_cortes_total
CLI0071,Clientes recurrentes de comportamiento general,0,70.27,2,2 estrellas,bajo cumplimiento historico | dias de mora observables | mora reciente | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,11,62
CLI0200,Clientes recurrentes de comportamiento general,0,70.36,2,2 estrellas,mora reciente | mora historica | bajo cumplimiento historico | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,38,224
CLI0157,Clientes recurrentes de comportamiento general,0,70.53,2,2 estrellas,mora historica | mora reciente | dias de mora observables | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,tecnologia,32,198
CLI0052,Clientes de alto riesgo operativo,2,70.77,2,2 estrellas,moras consecutivas | promesas rotas | bajo cumplimiento de promesas | mora reciente,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,transporte,21,95
CLI0127,Clientes recurrentes de comportamiento general,0,70.88,2,2 estrellas,mora historica | bajo cumplimiento historico | mora reciente | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,38,209
CLI0160,Clientes recurrentes de comportamiento general,0,71.28,2,2 estrellas,mora reciente | dias de mora observables | mora historica | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,42,216
CLI0187,Clientes recurrentes de comportamiento general,0,72.66,2,2 estrellas,bajo cumplimiento historico | mora reciente | mora historica | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,44,208
CLI0119,Clientes de alto riesgo operativo,2,72.69,2,2 estrellas,bajo cumplimiento historico | moras consecutivas | mora reciente | dias de mora observables,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,salud,20,96
CLI0114,Clientes recurrentes de comportamiento general,0,72.82,2,2 estrellas,mora historica | mora reciente | moras consecutivas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,21,102
CLI0076,Clientes recurrentes de comportamiento general,0,72.97,2,2 estrellas,mora historica | bajo cumplimiento historico | mora reciente | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,43,241
CLI0108,Clientes recurrentes de comportamiento general,0,73.49,2,2 estrellas,bajo cumplimiento historico | mora historica | bajo cumplimiento de promesas | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,48,269
CLI0193,Clientes recurrentes de comportamiento general,0,73.52,2,2 estrellas,mora reciente | friccion de contacto | dias de mora observables | mora historica,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,31,174
CLI0008,Clientes recurrentes de comportamiento general,0,73.85,2,2 estrellas,mora reciente | bajo cumplimiento historico | mora historica | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,servicios,24,133
CLI0138,Clientes recurrentes de comportamiento general,0,74.53,2,2 estrellas,mora historica | bajo cumplimiento historico | mora reciente | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,servicios,43,231
CLI0010,Clientes de alto riesgo operativo,2,74.69,2,2 estrellas,moras consecutivas | mora reciente | promesas rotas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,tecnologia,36,178
CLI0003,Clientes recurrentes de comportamiento general,0,74.81,2,2 estrellas,bajo cumplimiento historico | mora historica | bajo cumplimiento de promesas | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,38,202
CLI0026,Clientes de alto riesgo operativo,2,74.98,2,2 estrellas,mora historica | moras consecutivas | promesas rotas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,transporte,21,124
CLI0063,Clientes recurrentes de comportamiento general,0,75.37,2,2 estrellas,mora historica | mora reciente | dias de mora observables | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,18,95
CLI0095,Clientes recurrentes de comportamiento general,0,75.77,2,2 estrellas,bajo cumplimiento historico | mora historica | dias de mora observables | mora reciente,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,46,248
CLI0177,Clientes recurrentes de comportamiento general,0,75.8,2,2 estrellas,bajo cumplimiento historico | mora historica | mora reciente | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,28,146
CLI0036,Clientes recurrentes de comportamiento general,0,76.11,2,2 estrellas,bajo cumplimiento historico | mora historica | dias de mora observables | mora reciente,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,38,215
CLI0198,Clientes de alto riesgo operativo,2,76.4,2,2 estrellas,moras consecutivas | promesas rotas | bajo cumplimiento de promesas | dias de mora observables,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,agro,17,81
CLI0192,Clientes de alto riesgo operativo,2,76.44,2,2 estrellas,moras consecutivas | mora reciente | mora historica | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: moras consecutivas prom. | moras consecutivas total | cliente nuevo prom. | mora ultimo tramo prom.,tecnologia,10,50
CLI0092,Clientes recurrentes de comportamiento general,0,76.48,2,2 estrellas,mora historica | mora reciente | dias de mora observables | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,13,90
CLI0075,Clientes recurrentes de comportamiento general,0,77.41,2,2 estrellas,mora reciente | mora historica | bajo cumplimiento historico | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,35,194
CLI0074,Clientes recurrentes de comportamiento general,0,77.75,2,2 estrellas,mora reciente | bajo cumplimiento historico | mora historica | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,23,127
CLI0199,Clientes recurrentes de comportamiento general,0,78.32,2,2 estrellas,mora reciente | mora historica | dias de mora observables | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,21,124
CLI0013,Clientes recurrentes de comportamiento general,0,78.61,2,2 estrellas,dias de mora observables | mora historica | bajo cumplimiento historico | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,37,215
CLI0186,Clientes recurrentes de comportamiento general,0,79.04,2,2 estrellas,bajo cumplimiento historico | mora historica | promesas rotas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,41,216
CLI0140,Clientes recurrentes de comportamiento general,0,79.85,2,2 estrellas,bajo cumplimiento historico | mora reciente | mora historica | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,23,127
CLI0128,Clientes recurrentes de comportamiento general,0,79.86,2,2 estrellas,promesas rotas | mora historica | mora reciente | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,32,176
CLI0085,Clientes recurrentes de comportamiento general,0,40.18,3,3 estrellas,bajo cumplimiento historico | mora historica | mora reciente | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,tecnologia,42,126
CLI0154,Clientes recurrentes de comportamiento general,0,40.25,3,3 estrellas,moras consecutivas | dias de mora observables | mora reciente | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,34,102
CLI0188,Clientes recurrentes de comportamiento general,0,40.51,3,3 estrellas,promesas rotas | bajo cumplimiento de promesas | bajo cumplimiento historico | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,21,58
CLI0096,Clientes recurrentes de comportamiento general,0,40.65,3,3 estrellas,baja contactabilidad | bajo cumplimiento historico | dias de mora observables | mora historica,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,15,39
CLI0090,Clientes recurrentes de comportamiento general,0,41.69,3,3 estrellas,dias de mora observables | mora historica | bajo cumplimiento historico | mora reciente,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,23,78
CLI0102,Clientes recurrentes de comportamiento general,0,42.47,3,3 estrellas,moras consecutivas | mora reciente | friccion de contacto | mora historica,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,16,45
CLI0020,Clientes recurrentes de comportamiento general,0,43.28,3,3 estrellas,moras consecutivas | bajo cumplimiento historico | mora reciente | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,29,78
CLI0131,Clientes recurrentes de comportamiento general,0,43.56,3,3 estrellas,mora historica | moras consecutivas | baja contactabilidad | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,39,110
CLI0064,Clientes recurrentes de comportamiento general,0,44.01,3,3 estrellas,moras consecutivas | dias de mora observables | mora reciente | disputas activas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,tecnologia,22,78
CLI0024,Clientes recurrentes de comportamiento general,0,44.85,3,3 estrellas,dias de mora observables | promesas rotas | disputas activas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,tecnologia,47,149
CLI0195,Clientes recurrentes de comportamiento general,0,45.28,3,3 estrellas,bajo cumplimiento historico | mora reciente | mora historica | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,34,109
CLI0196,Clientes recurrentes de comportamiento general,0,45.99,3,3 estrellas,promesas rotas | bajo cumplimiento de promesas | mora reciente | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,43,143
CLI0061,Clientes recurrentes de comportamiento general,0,46.37,3,3 estrellas,mora reciente | mora historica | bajo cumplimiento historico | no contestacion,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,26,86
CLI0083,Clientes recurrentes de comportamiento general,0,46.44,3,3 estrellas,moras consecutivas | bajo cumplimiento historico | promesas rotas | bajo cumplimiento de promesas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,salud,35,90
CLI0132,Clientes recurrentes de comportamiento general,0,46.44,3,3 estrellas,moras consecutivas | baja contactabilidad | friccion de contacto | disputas activas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,agro,18,45
CLI0045,Clientes recurrentes de comportamiento general,0,47.07,3,3 estrellas,bajo cumplimiento historico | mora reciente | baja contactabilidad | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,37,127
CLI0142,Clientes recurrentes de comportamiento general,0,47.66,3,3 estrellas,mora reciente | bajo cumplimiento historico | friccion de contacto | mora historica,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,42,135
CLI0139,Clientes recurrentes de comportamiento general,0,47.69,3,3 estrellas,bajo cumplimiento de promesas | promesas rotas | bajo cumplimiento historico | friccion de contacto,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,tecnologia,39,102
CLI0021,Clientes recurrentes de comportamiento general,0,47.72,3,3 estrellas,friccion de contacto | baja contactabilidad | mora reciente | no contestacion,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,9,27
CLI0130,Clientes recurrentes de comportamiento general,0,47.88,3,3 estrellas,bajo cumplimiento historico | dias de mora observables | mora reciente | promesas rotas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,38,145
CLI0170,Clientes recurrentes de comportamiento general,0,48.41,3,3 estrellas,promesas rotas | bajo cumplimiento de promesas | friccion de contacto | moras consecutivas,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,retail,38,98
CLI0062,Clientes recurrentes de comportamiento general,0,48.78,3,3 estrellas,promesas rotas | bajo cumplimiento de promesas | dias de mora observables | mora historica,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,34,118
CLI0145,Clientes recurrentes de comportamiento general,0,49.13,3,3 estrellas,moras consecutivas | dias de mora observables | mora reciente | mora historica,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,construccion,17,66
CLI0079,Clientes recurrentes de comportamiento general,0,49.64,3,3 estrellas,moras consecutivas | dias de mora observables | mora historica | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,servicios,20,77
CLI0103,Clientes recurrentes de comportamiento general,0,49.84,3,3 estrellas,promesas rotas | bajo cumplimiento de promesas | friccion de contacto | baja contactabilidad,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,servicios,15,37
CLI0148,Clientes recurrentes de comportamiento general,0,50.18,3,3 estrellas,moras consecutivas | dias de mora observables | bajo cumplimiento historico | mora reciente,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,transporte,19,62
CLI0088,Clientes recurrentes de comportamiento general,0,50.56,3,3 estrellas,bajo cumplimiento historico | mora reciente | mora historica | dias de mora observables,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,manufactura,41,161
CLI0042,Clientes recurrentes de comportamiento general,0,50.84,3,3 estrellas,promesas rotas | bajo cumplimiento de promesas | mora historica | bajo cumplimiento historico,Cercania al centroide del grupo; variables distintivas: dias mora observable max. | moras consecutivas prom. | moras consecutivas total | ratio monto max.,retail,43,133
